time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,
79,0.007825,1.123845,-0.028428,0.121375,-0.02355,-0.004061,-0.992319,-0.076234,0.747926,0.315151,0.029084,0.053954,0.05767,-0.996452,0.286313,0.716809,0.252576,-0.069277,0.202741,0.37104,0.903563,0,0,0,0,0,0,0,1,0,0,0,
80,0.010594,1.122785,-0.028099,0.118054,-0.035725,-0.003675,-0.992358,-0.075814,0.747832,0.315043,0.02871,0.053754,0.05801,-0.996454,0.286413,0.716937,0.252373,-0.069711,0.202762,0.370965,0.903556,0,0,0,0,0,0,0,1,0,0,0,
81,0.002305,1.121317,-0.027866,0.109863,0.013912,0.002259,-0.993847,-0.075613,0.747596,0.315495,0.028003,0.053654,0.058265,-0.996465,0.286011,0.717638,0.252309,-0.070215,0.203462,0.370249,0.903653,0,0,0,0,0,0,0,1,0,0,0,
82,-0.004196,1.11634,-0.022369,0.084178,0.054153,0.01558,-0.994856,-0.075918,0.746988,0.316308,0.026525,0.054532,0.057308,-0.996513,0.286628,0.717188,0.253053,-0.069717,0.203258,0.369829,0.903909,0,0,0,0,0,0,0,1,0,0,0,
83,0.000858,1.115599,-0.027999,0.080791,0.034042,0.01249,-0.996071,-0.070166,0.746881,0.312073,0.025966,0.05802,0.053157,-0.996561,0.216731,0.728643,0.244563,-0.067959,0.154145,0.23256,0.957882,1,0,0,0,0,0,0,0,0,0,0,
84,0.017399,1.115138,-0.039091,0.088124,0.003476,0.020453,-0.995893,-0.049454,0.718799,0.292618,-0.089509,0.252448,-0.064898,-0.961273,0.023891,0.718347,0.238665,-0.148562,0.150538,-0.060799,0.975485,1,0,0,0,0,0,0,0,0,0,0,
85,0.028048,1.112514,-0.044554,0.084584,-0.022504,0.033084,-0.995613,-0.006622,0.733476,0.289409,-0.132803,0.391466,0.213854,-0.88509,0.07105,0.711867,0.2469,-0.027059,0.076961,-0.297827,0.951128,1,0,0,0,0,0,0,0,0,0,0,
86,0.035843,1.109362,-0.046466,0.072414,-0.044324,0.050818,-0.995093,-0.001176,0.719146,0.298388,-0.139886,0.37218,0.20086,-0.895304,0.075613,0.701384,0.252725,-0.030526,0.093328,-0.276799,0.955898,1,0,0,0,0,0,0,0,0,0,0,
87,0.038956,1.103323,-0.036407,0.049504,-0.050594,0.06432,-0.995416,-0.004639,0.712489,0.29782,-0.148496,0.385341,0.182006,-0.892376,0.075654,0.695891,0.25418,-0.040167,0.089988,-0.256819,0.961422,0,0,0,0,0,0,0,1,0,0,0,
88,0.027895,1.103361,-0.031143,0.041688,-0.037002,0.049453,-0.99722,0.002544,0.710219,0.301601,-0.15385,0.377117,0.194214,-0.892409,0.08172,0.692939,0.256691,-0.031334,0.101982,-0.260267,0.959624,1,0,0,0,0,0,0,0,0,0,0,
