time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
76,-0.014079,1.164507,0.0005,0.061899,-0.016724,0.080941,0.994654,-0.016833,0.749546,0.293299,-0.046646,-0.074887,0.040083,-0.995294,0.168362,0.748445,0.25633,0.044247,0.119712,0.150085,0.980401,1,0,0,0,0,0,0,0,0,0,0
77,-0.014393,1.163668,0.001749,0.064735,-0.016949,0.080317,0.994521,-0.017232,0.749776,0.293223,-0.046556,-0.075438,0.040171,-0.995253,0.167793,0.748069,0.256131,0.043704,0.118902,0.151438,0.980316,1,0,0,0,0,0,0,0,0,0,0
78,-0.013677,1.164291,0.000941,0.063135,-0.015188,0.079691,0.994702,-0.017016,0.749508,0.293192,-0.046401,-0.075823,0.040634,-0.995212,0.167626,0.748052,0.255923,0.044243,0.118159,0.152718,0.980183,1,0,0,0,0,0,0,0,0,0,0
79,-0.013756,1.163957,0.001023,0.06361,-0.014776,0.079243,0.994714,-0.017094,0.749402,0.293373,-0.046827,-0.075555,0.040149,-0.995232,0.167289,0.747838,0.255822,0.044767,0.117313,0.152869,0.980237,1,0,0,0,0,0,0,0,0,0,0
80,-0.014687,1.164519,0.000667,0.062785,-0.016254,0.080696,0.994627,-0.016914,0.749173,0.293321,-0.047074,-0.076103,0.04064,-0.995159,0.167304,0.747507,0.256042,0.045285,0.116564,0.15284,0.980307,1,0,0,0,0,0,0,0,0,0,0
81,-0.013819,1.163862,0.001082,0.064051,-0.014926,0.079587,0.994656,-0.016498,0.749208,0.293178,-0.046917,-0.076912,0.040822,-0.995097,0.166939,0.747259,0.255816,0.045085,0.115315,0.154021,0.980279,1,0,0,0,0,0,0,0,0,0,0
82,-0.01423,1.163566,0.001539,0.064929,-0.016286,0.080005,0.994544,-0.016684,0.749252,0.29311,-0.046776,-0.076822,0.040853,-0.995109,0.166513,0.746926,0.255609,0.045811,0.113638,0.15529,0.980241,1,0,0,0,0,0,0,0,0,0,0
83,-0.013829,1.163345,0.001096,0.066297,-0.015803,0.080146,0.99445,-0.01627,0.748723,0.293024,-0.04813,-0.076957,0.040982,-0.995028,0.165992,0.74675,0.255676,0.046165,0.113422,0.157096,0.979962,1,0,0,0,0,0,0,0,0,0,0
84,-0.013867,1.163492,0.001697,0.066047,-0.015724,0.079134,0.994549,-0.016555,0.748782,0.293133,-0.047194,-0.077225,0.040968,-0.995053,0.165379,0.746855,0.255106,0.045288,0.11213,0.158637,0.979903,1,0,0,0,0,0,0,0,0,0,0
85,-0.013936,1.163467,0.00126,0.065876,-0.015695,0.079205,0.994556,-0.016307,0.749066,0.292983,-0.047002,-0.077827,0.041113,-0.995009,0.165184,0.746175,0.255118,0.045203,0.110653,0.159624,0.979915,1,0,0,0,0,0,0,0,0,0,0
